timestamp,target,segment
2021-11-22,41.0,1
2021-11-23,61.0,1
2021-11-24,61.0,1
2021-11-25,76.0,1
2021-11-26,82.0,1
2021-11-27,90.0,1
2021-11-28,95.0,1
2021-11-29,65.0,1
2021-11-30,60.0,1
2021-12-01,64.0,1
2021-12-02,63.0,1
2021-12-03,70.0,1
2021-12-04,110.0,1
2021-12-05,84.0,1
2021-12-06,71.0,1
2021-12-07,72.0,1
2021-12-08,70.0,1
2021-12-09,73.0,1
2021-12-10,82.0,1
2021-12-11,116.0,1
2021-12-12,99.0,1
2021-12-13,70.0,1
2021-12-14,76.0,1
2021-12-15,109.0,1
2021-12-16,80.0,1
2021-12-17,116.0,1
2021-12-18,129.0,1
2021-12-19,103.0,1
2021-12-20,93.0,1
2021-12-21,88.0,1
2021-12-22,126.0,1
2021-12-23,94.0,1
2021-12-24,118.0,1
2021-12-25,133.0,1
2021-12-26,155.0,1
2021-12-27,129.0,1
2021-12-28,145.0,1
2021-12-29,159.0,1
2021-12-30,170.0,1
2021-12-31,97.0,1
2022-01-01,1.0,1
2022-01-02,85.0,1
2022-01-03,118.0,1
2022-01-04,132.0,1
2022-01-05,111.0,1
2022-01-06,119.0,1
2022-01-07,76.0,1
2022-01-08,108.0,1
2022-01-09,75.0,1
2022-01-10,51.0,1
2022-01-11,63.0,1
2022-01-12,50.0,1
2022-01-13,55.0,1
2022-01-14,55.0,1
2022-01-15,74.0,1
2022-01-16,61.0,1
2022-01-17,63.0,1
2022-01-18,50.0,1
2022-01-19,58.0,1
2022-01-20,53.0,1
2022-01-21,51.0,1
2022-01-22,68.0,1
2022-01-23,59.0,1
2022-01-24,46.0,1
2022-01-25,38.0,1
2022-01-26,47.0,1
2022-01-27,42.0,1
2022-01-28,54.0,1
2022-01-29,55.0,1
2022-01-30,45.0,1
2022-01-31,37.0,1
2022-02-01,59.0,1
2022-02-02,54.0,1
2022-02-03,60.0,1
2022-02-04,52.0,1
2022-02-05,64.0,1
2022-02-06,53.0,1
2022-02-07,58.0,1
2022-02-08,105.0,1
2022-02-09,46.0,1
2022-02-10,65.0,1
2022-02-11,64.0,1
2022-02-12,72.0,1
2022-02-13,52.0,1
2022-02-14,52.0,1
2022-02-15,50.0,1
2022-02-16,47.0,1
2022-02-17,43.0,1
2022-02-18,53.0,1
2022-02-19,71.0,1
2022-02-20,74.0,1
2022-02-21,56.0,1
2022-02-22,71.0,1
2022-02-23,72.0,1
2022-02-24,58.0,1
2022-02-25,76.0,1
2022-02-26,84.0,1
2022-02-27,78.0,1
2022-02-28,60.0,1
2022-03-01,86.0,1
2022-03-02,89.0,1
2022-03-03,100.0,1
2022-03-04,142.0,1
2022-03-05,121.0,1
2022-03-06,114.0,1
2022-03-07,139.0,1
2022-03-08,104.0,1
2022-03-09,79.0,1
2022-03-10,65.0,1
